Orthogroup	Acaulospora-colombiana-protein	Acaulospora-morrowiae-protein	Ambispora-gerdemannii-protein	Ambispora-leptoticha-protein	Cetraspora-pellucida-protein	Claroideoglomus-candidum-CCK-protein	Claroideoglomus-lamellosum-protein	Dentiscutata-heterogama-protein	Diversispora-eburnea-protein	Diversispora-epigaea-protein	Diversispora-erythropus-protein	Funneliformis-caledonium-protein	Funneliformis-mosseae-protein	Geosiphon-pyriformis-protein	Gigaspora-margarita-BEG34-protein	Gigaspora-rosea-FL-protein	Innospora-majewskii-protein	Paraglomus-brasilianum-protein	Paroglomus-occultum-protein	Racocetra-persica-protein	Rhizophagus-cerebriforme-protein	Rhizophagus-clarus-protein	Rhizophagus-diaphanus-protein	Rhizophagus-fulgida-protein	Rhizophagus-irregularis-protein	Scutellospora-calospora-protein	Septoglomus-turnauae-protein
OG0034151	CAG8641957.1																										
OG0034152	CAG8642121.1																										
OG0034153	CAG8642135.1																										
OG0034154	CAG8642156.1																										
OG0034155	CAG8642238.1																										
OG0034156	CAG8642253.1																										
OG0034157	CAG8642373.1																										
OG0034158	CAG8642581.1																										
OG0034159	CAG8642597.1																										
OG0034160	CAG8642660.1																										
OG0034161	CAG8643024.1																										
OG0034162	CAG8643148.1																										
OG0034163	CAG8643241.1																										
OG0034164	CAG8643441.1																										
OG0034165	CAG8643546.1																										
OG0034166	CAG8643597.1																										
OG0034167	CAG8643614.1																										
OG0034168	CAG8643768.1																										
OG0034169	CAG8643788.1																										
OG0034170	CAG8643804.1																										
OG0034171	CAG8643820.1																										
OG0034172	CAG8643859.1																										
OG0034173	CAG8643886.1																										
OG0034174	CAG8644100.1																										
OG0034175	CAG8644169.1																										
OG0034176	CAG8644245.1																										
OG0034177	CAG8644341.1																										
OG0034178	CAG8644355.1																										
OG0034179	CAG8644368.1																										
OG0034180	CAG8644498.1																										
OG0034181	CAG8644632.1																										
OG0034182	CAG8644715.1																										
OG0034183	CAG8644730.1																										
OG0034184	CAG8644748.1																										
OG0034185	CAG8645149.1																										
OG0034186	CAG8645162.1																										
OG0034187	CAG8645218.1																										
OG0034188	CAG8645295.1																										
OG0034189	CAG8645596.1																										
OG0034190	CAG8645682.1																										
OG0034191	CAG8645708.1																										
OG0034192	CAG8645749.1																										
OG0034193	CAG8645780.1																										
OG0034194	CAG8645903.1																										
OG0034195	CAG8645922.1																										
OG0034196	CAG8645928.1																										
OG0034197	CAG8646125.1																										
OG0034198	CAG8646145.1																										
OG0034199	CAG8646166.1																										
OG0034200	CAG8646182.1																										
OG0034201	CAG8646232.1																										
OG0034202	CAG8646264.1																										
OG0034203	CAG8646539.1																										
OG0034204	CAG8646565.1																										
OG0034205	CAG8646667.1																										
OG0034206	CAG8646685.1																										
OG0034207	CAG8647190.1																										
OG0034208	CAG8647382.1																										
OG0034209	CAG8647412.1																										
OG0034210	CAG8647462.1																										
OG0034211	CAG8647488.1																										
OG0034212	CAG8647593.1																										
OG0034213	CAG8647611.1																										
OG0034214	CAG8647627.1																										
OG0034215	CAG8648024.1																										
OG0034216	CAG8648300.1																										
OG0034217	CAG8648394.1																										
OG0034218	CAG8648568.1																										
OG0034219	CAG8648583.1																										
OG0034220	CAG8648600.1																										
OG0034221	CAG8648662.1																										
OG0034222	CAG8648689.1																										
OG0034223	CAG8648704.1																										
OG0034224	CAG8648761.1																										
OG0034225	CAG8648846.1																										
OG0034226	CAG8648903.1																										
OG0034227	CAG8648920.1																										
OG0034228	CAG8648936.1																										
OG0034229	CAG8648939.1																										
OG0034230	CAG8649090.1																										
OG0034231	CAG8649104.1																										
OG0034232	CAG8649121.1																										
OG0034233	CAG8649510.1																										
OG0034234	CAG8649526.1																										
OG0034235	CAG8649538.1																										
OG0034236	CAG8649745.1																										
OG0034237	CAG8649762.1																										
OG0034238	CAG8649777.1																										
OG0034239	CAG8650056.1																										
OG0034240	CAG8650193.1																										
OG0034241	CAG8650221.1																										
OG0034242	CAG8650493.1																										
OG0034243	CAG8650527.1																										
OG0034244	CAG8650682.1																										
OG0034245	CAG8650708.1																										
OG0034246	CAG8650831.1																										
OG0034247	CAG8650847.1																										
OG0034248	CAG8650948.1																										
OG0034249	CAG8651137.1																										
OG0034250	CAG8651153.1																										
OG0034251	CAG8651197.1																										
OG0034252	CAG8651214.1																										
OG0034253	CAG8651226.1																										
OG0034254	CAG8651242.1																										
OG0034255	CAG8651287.1																										
OG0034256	CAG8651414.1																										
OG0034257	CAG8651446.1																										
OG0034258	CAG8651463.1																										
OG0034259	CAG8651527.1																										
OG0034260	CAG8651740.1																										
OG0034261	CAG8651791.1																										
OG0034262	CAG8651915.1																										
OG0034263	CAG8651931.1																										
OG0034264	CAG8651974.1																										
OG0034265	CAG8651998.1																										
OG0034266	CAG8652042.1																										
OG0034267	CAG8652051.1																										
OG0034268	CAG8652100.1																										
OG0034269	CAG8652116.1																										
OG0034270	CAG8652219.1																										
OG0034271	CAG8652413.1																										
OG0034272	CAG8652588.1																										
OG0034273	CAG8652601.1																										
OG0034274	CAG8652730.1																										
OG0034275	CAG8652836.1																										
OG0034276	CAG8652850.1																										
OG0034277	CAG8652867.1																										
OG0034278	CAG8652953.1																										
OG0034279	CAG8653135.1																										
OG0034280	CAG8653234.1																										
OG0034281	CAG8653384.1																										
OG0034282	CAG8653665.1																										
OG0034283	CAG8653787.1																										
OG0034284	CAG8653802.1																										
OG0034285	CAG8653845.1																										
OG0034286	CAG8653960.1																										
OG0034287	CAG8654093.1																										
OG0034288	CAG8654320.1																										
OG0034289	CAG8654902.1																										
OG0034290	CAG8654917.1																										
OG0034291	CAG8654973.1																										
OG0034292	CAG8654991.1																										
OG0034293	CAG8655010.1																										
OG0034294	CAG8655153.1																										
OG0034295	CAG8655231.1																										
OG0034296	CAG8655297.1																										
OG0034297	CAG8655360.1																										
OG0034298	CAG8655458.1																										
OG0034299	CAG8655620.1																										
OG0034300	CAG8655634.1																										
OG0034301	CAG8655669.1																										
OG0034302	CAG8655805.1																										
OG0034303	CAG8655936.1																										
OG0034304	CAG8655948.1																										
OG0034305	CAG8656026.1																										
OG0034306	CAG8656291.1																										
OG0034307	CAG8656361.1																										
OG0034308	CAG8656375.1																										
OG0034309	CAG8656461.1																										
OG0034310	CAG8656794.1																										
OG0034311	CAG8656806.1																										
OG0034312	CAG8656823.1																										
OG0034313	CAG8656839.1																										
OG0034314	CAG8657065.1																										
OG0034315	CAG8657079.1																										
OG0034316	CAG8657156.1																										
OG0034317	CAG8657220.1																										
OG0034318	CAG8657327.1																										
OG0034319	CAG8657346.1																										
OG0034320	CAG8657367.1																										
OG0034321	CAG8657447.1																										
OG0034322	CAG8657716.1																										
OG0034323	CAG8657741.1																										
OG0034324	CAG8657833.1																										
OG0034325	CAG8657861.1																										
OG0034326	CAG8657976.1																										
OG0034327	CAG8658071.1																										
OG0034328	CAG8658133.1																										
OG0034329	CAG8658154.1																										
OG0034330	CAG8658320.1																										
OG0034331	CAG8658460.1																										
OG0034332	CAG8658570.1																										
OG0034333	CAG8658593.1																										
OG0034334	CAG8658671.1																										
OG0034335	CAG8659044.1																										
OG0034336	CAG8659060.1																										
OG0034337	CAG8659084.1																										
OG0034338	CAG8659170.1																										
OG0034339	CAG8659353.1																										
OG0034340	CAG8659363.1																										
OG0034341	CAG8659378.1																										
OG0034342	CAG8659657.1																										
OG0034343	CAG8659876.1																										
OG0034344	CAG8659886.1																										
OG0034345	CAG8659897.1																										
OG0034346	CAG8659967.1																										
OG0034347	CAG8659983.1																										
OG0034348	CAG8660203.1																										
OG0034349	CAG8660355.1																										
OG0034350	CAG8660373.1																										
OG0034351	CAG8660410.1																										
OG0034352	CAG8660454.1																										
OG0034353	CAG8660648.1																										
OG0034354	CAG8660665.1																										
OG0034355	CAG8661181.1																										
OG0034356	CAG8661197.1																										
OG0034357	CAG8661213.1																										
OG0034358	CAG8661235.1																										
OG0034359	CAG8661264.1																										
OG0034360	CAG8661347.1																										
OG0034361	CAG8661382.1																										
OG0034362	CAG8661396.1																										
OG0034363	CAG8661411.1																										
OG0034364	CAG8661533.1																										
OG0034365	CAG8661553.1																										
OG0034366	CAG8661625.1																										
OG0034367	CAG8661699.1																										
OG0034368	CAG8661728.1																										
OG0034369	CAG8661897.1																										
OG0034370	CAG8661914.1																										
OG0034371	CAG8661928.1																										
OG0034372	CAG8661942.1																										
OG0034373	CAG8662183.1																										
OG0034374	CAG8662245.1																										
OG0034375	CAG8662261.1																										
OG0034376	CAG8662324.1																										
OG0034377	CAG8662662.1																										
OG0034378	CAG8662679.1																										
OG0034379	CAG8662709.1																										
OG0034380	CAG8662724.1																										
OG0034381	CAG8662780.1																										
OG0034382	CAG8662797.1																										
OG0034383	CAG8662861.1																										
OG0034384	CAG8662941.1																										
OG0034385	CAG8663003.1																										
OG0034386	CAG8663414.1																										
OG0034387	CAG8663428.1																										
OG0034388	CAG8663508.1																										
OG0034389	CAG8663525.1																										
OG0034390	CAG8663545.1																										
OG0034391	CAG8663555.1																										
OG0034392	CAG8663668.1																										
OG0034393	CAG8663820.1																										
OG0034394	CAG8663845.1																										
OG0034395	CAG8663857.1																										
OG0034396	CAG8663903.1																										
OG0034397	CAG8663953.1																										
OG0034398	CAG8664201.1																										
OG0034399	CAG8664243.1																										
OG0034400	CAG8664265.1																										
OG0034401	CAG8664283.1																										
OG0034402	CAG8664423.1																										
OG0034403	CAG8664441.1																										
OG0034404	CAG8664471.1																										
OG0034405	CAG8664654.1																										
OG0034406	CAG8664674.1																										
OG0034407	CAG8664708.1																										
OG0034408	CAG8664735.1																										
OG0034409	CAG8664912.1																										
OG0034410	CAG8664941.1																										
OG0034411	CAG8664985.1																										
OG0034412	CAG8665019.1																										
OG0034413	CAG8665064.1																										
OG0034414	CAG8665106.1																										
OG0034415	CAG8665209.1																										
OG0034416	CAG8665291.1																										
OG0034417	CAG8665310.1																										
OG0034418	CAG8665439.1																										
OG0034419	CAG8665466.1																										
OG0034420	CAG8665555.1																										
OG0034421	CAG8665626.1																										
OG0034422	CAG8665647.1																										
OG0034423	CAG8665661.1																										
OG0034424	CAG8665672.1																										
OG0034425	CAG8665903.1																										
OG0034426	CAG8665921.1																										
OG0034427	CAG8666219.1																										
OG0034428	CAG8666278.1																										
OG0034429	CAG8666298.1																										
OG0034430	CAG8666380.1																										
OG0034431	CAG8666390.1																										
OG0034432	CAG8666461.1																										
OG0034433	CAG8666532.1																										
OG0034434	CAG8666668.1																										
OG0034435	CAG8666702.1																										
OG0034436	CAG8666719.1																										
OG0034437	CAG8666732.1																										
OG0034438	CAG8666821.1																										
OG0034439	CAG8666953.1																										
OG0034440	CAG8667023.1																										
OG0034441	CAG8667040.1																										
OG0034442	CAG8667125.1																										
OG0034443	CAG8667143.1																										
OG0034444	CAG8667165.1																										
OG0034445	CAG8667245.1																										
OG0034446	CAG8667290.1																										
OG0034447	CAG8667343.1																										
OG0034448	CAG8667412.1																										
OG0034449	CAG8667421.1																										
OG0034450	CAG8667436.1																										
OG0034451	CAG8667572.1																										
OG0034452	CAG8667658.1																										
OG0034453	CAG8667708.1																										
OG0034454	CAG8667740.1																										
OG0034455	CAG8667788.1																										
OG0034456	CAG8667845.1																										
OG0034457	CAG8667912.1																										
OG0034458	CAG8667967.1																										
OG0034459	CAG8667980.1																										
OG0034460	CAG8668200.1																										
OG0034461	CAG8668209.1																										
OG0034462	CAG8668289.1																										
OG0034463	CAG8668306.1																										
OG0034464	CAG8668321.1																										
OG0034465	CAG8668421.1																										
OG0034466	CAG8668485.1																										
OG0034467	CAG8668514.1																										
OG0034468	CAG8668570.1																										
OG0034469	CAG8668588.1																										
OG0034470	CAG8668607.1																										
OG0034471	CAG8668686.1																										
OG0034472	CAG8668695.1																										
OG0034473	CAG8668753.1																										
OG0034474	CAG8668860.1																										
OG0034475	CAG8669017.1																										
OG0034476	CAG8669145.1																										
OG0034477	CAG8669346.1																										
OG0034478	CAG8669496.1																										
OG0034479	CAG8669511.1																										
OG0034480	CAG8669755.1																										
OG0034481	CAG8669842.1																										
OG0034482	CAG8669857.1																										
OG0034483	CAG8670001.1																										
OG0034484	CAG8670052.1																										
OG0034485	CAG8670164.1																										
OG0034486	CAG8670181.1																										
OG0034487	CAG8670197.1																										
OG0034488	CAG8670214.1																										
OG0034489	CAG8670228.1																										
OG0034490	CAG8670276.1																										
OG0034491	CAG8670364.1																										
OG0034492	CAG8670382.1																										
OG0034493	CAG8670436.1																										
OG0034494	CAG8670636.1																										
OG0034495	CAG8670741.1																										
OG0034496	CAG8670753.1																										
OG0034497	CAG8670869.1																										
OG0034498	CAG8671210.1																										
OG0034499	CAG8671245.1																										
OG0034500	CAG8671324.1																										
OG0034501	CAG8671340.1																										
OG0034502	CAG8671453.1																										
OG0034503	CAG8671546.1																										
OG0034504	CAG8671560.1																										
OG0034505	CAG8671586.1																										
OG0034506	CAG8671779.1																										
OG0034507	CAG8671828.1																										
OG0034508	CAG8671843.1																										
OG0034509	CAG8671954.1																										
OG0034510	CAG8672035.1																										
OG0034511	CAG8672051.1																										
OG0034512	CAG8672105.1																										
OG0034513	CAG8672185.1																										
OG0034514	CAG8672201.1																										
OG0034515	CAG8672229.1																										
OG0034516	CAG8672389.1																										
OG0034517	CAG8672597.1																										
OG0034518	CAG8672607.1																										
OG0034519	CAG8672670.1																										
OG0034520	CAG8672678.1																										
OG0034521	CAG8673033.1																										
OG0034522	CAG8673088.1																										
OG0034523	CAG8673104.1																										
OG0034524	CAG8673160.1																										
OG0034525	CAG8673174.1																										
OG0034526	CAG8673190.1																										
OG0034527	CAG8673202.1																										
OG0034528	CAG8673305.1																										
OG0034529	CAG8673334.1																										
OG0034530	CAG8673348.1																										
OG0034531	CAG8673438.1																										
OG0034532	CAG8673563.1																										
OG0034533	CAG8673575.1																										
OG0034534	CAG8673748.1																										
OG0034535	CAG8673770.1																										
OG0034536	CAG8673811.1																										
OG0034537	CAG8673823.1																										
OG0034538	CAG8673832.1																										
OG0034539	CAG8674004.1																										
OG0034540	CAG8674210.1																										
OG0034541	CAG8674276.1																										
OG0034542	CAG8674365.1																										
OG0034543	CAG8674388.1																										
OG0034544	CAG8674439.1																										
OG0034545	CAG8674661.1																										
OG0034546	CAG8674678.1																										
OG0034547	CAG8674728.1																										
OG0034548	CAG8674771.1																										
OG0034549	CAG8674905.1																										
OG0034550	CAG8674997.1																										
OG0034551	CAG8675037.1																										
OG0034552	CAG8675111.1																										
OG0034553	CAG8675170.1																										
OG0034554	CAG8675186.1																										
OG0034555	CAG8675261.1																										
OG0034556	CAG8675281.1																										
OG0034557	CAG8675317.1																										
OG0034558	CAG8675333.1																										
OG0034559	CAG8675349.1																										
OG0034560	CAG8675390.1																										
OG0034561	CAG8675543.1																										
OG0034562	CAG8675559.1																										
OG0034563	CAG8675572.1																										
OG0034564	CAG8675585.1																										
OG0034565	CAG8675608.1																										
OG0034566	CAG8675623.1																										
OG0034567	CAG8675666.1																										
OG0034568	CAG8675695.1																										
OG0034569	CAG8675710.1																										
OG0034570	CAG8675724.1																										
OG0034571	CAG8675792.1																										
OG0034572	CAG8675855.1																										
OG0034573	CAG8676038.1																										
OG0034574	CAG8676149.1																										
OG0034575	CAG8676162.1																										
OG0034576	CAG8676199.1																										
OG0034577	CAG8676245.1																										
OG0034578	CAG8676272.1																										
OG0034579	CAG8676294.1																										
OG0034580	CAG8676304.1																										
OG0034581	CAG8676320.1																										
OG0034582	CAG8676364.1																										
OG0034583	CAG8676430.1																										
OG0034584	CAG8676445.1																										
OG0034585	CAG8676488.1																										
OG0034586	CAG8676504.1																										
OG0034587	CAG8676518.1																										
OG0034588	CAG8676594.1																										
OG0034589	CAG8676607.1																										
OG0034590	CAG8676769.1																										
OG0034591	CAG8676783.1																										
OG0034592	CAG8676830.1																										
OG0034593	CAG8676913.1																										
OG0034594	CAG8676948.1																										
OG0034595	CAG8676963.1																										
OG0034596	CAG8676979.1																										
OG0034597	CAG8677096.1																										
OG0034598	CAG8677112.1																										
OG0034599	CAG8677128.1																										
OG0034600	CAG8677173.1																										
OG0034601	CAG8677223.1																										
OG0034602	CAG8677295.1																										
OG0034603	CAG8677332.1																										
OG0034604	CAG8677344.1																										
OG0034605	CAG8677448.1																										
OG0034606	CAG8677463.1																										
OG0034607	CAG8677489.1																										
OG0034608	CAG8677501.1																										
OG0034609	CAG8677568.1																										
OG0034610	CAG8677584.1																										
OG0034611	CAG8677691.1																										
OG0034612	CAG8677785.1																										
OG0034613	CAG8677845.1																										
OG0034614	CAG8677897.1																										
OG0034615	CAG8678347.1																										
OG0034616	CAG8678363.1																										
OG0034617	CAG8678378.1																										
OG0034618	CAG8678659.1																										
OG0034619	CAG8679017.1																										
OG0034620	CAG8679045.1																										
OG0034621	CAG8679064.1																										
OG0034622	CAG8679091.1																										
OG0034623	CAG8679100.1																										
OG0034624	CAG8679210.1																										
OG0034625	CAG8679221.1																										
OG0034626	CAG8679249.1																										
OG0034627	CAG8679307.1																										
OG0034628	CAG8679320.1																										
OG0034629	CAG8679334.1																										
OG0034630	CAG8679370.1																										
OG0034631	CAG8679479.1																										
OG0034632	CAG8679673.1																										
OG0034633	CAG8679735.1																										
OG0034634	CAG8679796.1																										
OG0034635	CAG8679811.1																										
OG0034636	CAG8679837.1																										
OG0034637	CAG8679867.1																										
OG0034638	CAG8679952.1																										
OG0034639	CAG8679967.1																										
OG0034640	CAG8680033.1																										
OG0034641	CAG8680087.1																										
OG0034642	CAG8680152.1																										
OG0034643	CAG8680162.1																										
OG0034644	CAG8680171.1																										
OG0034645	CAG8680215.1																										
OG0034646	CAG8680303.1																										
OG0034647	CAG8680356.1																										
OG0034648	CAG8680492.1																										
OG0034649	CAG8680556.1																										
OG0034650	CAG8680568.1																										
OG0034651	CAG8680584.1																										
OG0034652	CAG8680617.1																										
OG0034653	CAG8680798.1																										
OG0034654	CAG8680821.1																										
OG0034655	CAG8680911.1																										
OG0034656	CAG8680927.1																										
OG0034657	CAG8680947.1																										
OG0034658	CAG8680959.1																										
OG0034659	CAG8680971.1																										
OG0034660	CAG8681014.1																										
OG0034661	CAG8681033.1																										
OG0034662	CAG8681176.1																										
OG0034663	CAG8681198.1																										
OG0034664	CAG8681237.1																										
OG0034665	CAG8681251.1																										
OG0034666	CAG8681330.1																										
OG0034667	CAG8681437.1																										
OG0034668	CAG8681444.1																										
OG0034669	CAG8681709.1																										
OG0034670	CAG8681786.1																										
OG0034671	CAG8681856.1																										
OG0034672	CAG8681870.1																										
OG0034673	CAG8681951.1																										
OG0034674	CAG8682011.1																										
OG0034675	CAG8682138.1																										
OG0034676	CAG8682224.1																										
OG0034677	CAG8682234.1																										
OG0034678	CAG8682262.1																										
OG0034679	CAG8682273.1																										
OG0034680	CAG8682324.1																										
OG0034681	CAG8682371.1																										
OG0034682	CAG8682377.1																										
OG0034683	CAG8682387.1																										
OG0034684	CAG8682397.1																										
OG0034685	CAG8682459.1																										
OG0034686	CAG8682473.1																										
OG0034687	CAG8682663.1																										
OG0034688	CAG8682679.1																										
OG0034689	CAG8682689.1																										
OG0034690	CAG8682805.1																										
OG0034691	CAG8682872.1																										
OG0034692	CAG8682896.1																										
OG0034693	CAG8682909.1																										
OG0034694	CAG8682992.1																										
OG0034695	CAG8683008.1																										
OG0034696	CAG8683024.1																										
OG0034697	CAG8683038.1																										
OG0034698	CAG8683045.1																										
OG0034699	CAG8683145.1																										
OG0034700	CAG8683163.1																										
OG0034701	CAG8683176.1																										
OG0034702	CAG8683191.1																										
OG0034703	CAG8683281.1																										
OG0034704	CAG8683374.1																										
OG0034705	CAG8683390.1																										
OG0034706	CAG8683706.1																										
OG0034707	CAG8683768.1																										
OG0034708	CAG8683781.1																										
OG0034709	CAG8683839.1																										
OG0034710	CAG8683854.1																										
OG0034711	CAG8684007.1																										
OG0034712	CAG8684021.1																										
OG0034713	CAG8684040.1																										
OG0034714	CAG8684051.1																										
OG0034715	CAG8684068.1																										
OG0034716	CAG8684144.1																										
OG0034717	CAG8684154.1																										
OG0034718	CAG8684197.1																										
OG0034719	CAG8684405.1																										
OG0034720	CAG8684411.1																										
OG0034721	CAG8684573.1																										
OG0034722	CAG8684597.1																										
OG0034723	CAG8684630.1																										
OG0034724	CAG8684796.1																										
OG0034725	CAG8684806.1																										
OG0034726	CAG8684953.1																										
OG0034727	CAG8684962.1																										
OG0034728	CAG8684992.1																										
OG0034729	CAG8685008.1																										
OG0034730	CAG8685146.1																										
OG0034731	CAG8685302.1																										
OG0034732	CAG8685379.1																										
OG0034733	CAG8685531.1																										
OG0034734	CAG8685682.1																										
OG0034735	CAG8685958.1																										
OG0034736	CAG8685969.1																										
OG0034737	CAG8686070.1																										
OG0034738	CAG8686143.1																										
OG0034739	CAG8686221.1																										
OG0034740	CAG8686225.1																										
OG0034741	CAG8686254.1																										
OG0034742	CAG8686305.1																										
OG0034743	CAG8686328.1																										
OG0034744	CAG8686331.1																										
OG0034745	CAG8686333.1																										
OG0034746	CAG8686337.1																										
OG0034747	CAG8686359.1																										
OG0034748	CAG8686378.1																										
OG0034749	CAG8686379.1																										
OG0034750	CAG8686395.1																										
OG0034751	CAG8686397.1																										
OG0034752	CAG8686402.1																										
OG0034753	CAG8686404.1																										
OG0034754	CAG8686473.1																										
OG0034755	CAG8686474.1																										
OG0034756	CAG8686658.1																										
OG0034757	CAG8686702.1																										
OG0034758	CAG8686703.1																										
OG0034759	CAG8686738.1																										
OG0034760	CAG8686795.1																										
OG0034761	CAG8686797.1																										
OG0034762	CAG8686825.1																										
OG0034763	CAG8686827.1																										
OG0034764	CAG8686884.1																										
OG0034765	CAG8686885.1																										
OG0034766	CAG8686919.1																										
OG0034767	CAG8686925.1																										
OG0034768	CAG8686927.1																										
OG0034769	CAG8686931.1																										
OG0034770	CAG8686976.1																										
OG0034771	CAG8686978.1																										
OG0034772	CAG8686984.1																										
OG0034773	CAG8686985.1																										
OG0034774	CAG8687007.1																										
OG0034775	CAG8687114.1																										
OG0034776	CAG8687125.1																										
OG0034777	CAG8687127.1																										
OG0034778	CAG8687231.1																										
OG0034779	CAG8687251.1																										
OG0034780	CAG8687283.1																										
OG0034781	CAG8687336.1																										
OG0034782	CAG8687351.1																										
OG0034783	CAG8687377.1																										
OG0034784	CAG8687450.1																										
OG0034785	CAG8687466.1																										
OG0034786	CAG8687517.1																										
OG0034787	CAG8687526.1																										
OG0034788	CAG8687558.1																										
OG0034789	CAG8687582.1																										
OG0034790	CAG8687671.1																										
OG0034791	CAG8687795.1																										
OG0034792	CAG8687831.1																										
OG0034793	CAG8687853.1																										
OG0034794	CAG8687864.1																										
OG0034795	CAG8688043.1																										
OG0034796	CAG8688060.1																										
OG0034797	CAG8688075.1																										
OG0034798	CAG8688088.1																										
OG0034799	CAG8688199.1																										
OG0034800	CAG8688352.1																										
OG0034801	CAG8688476.1																										
OG0034802	CAG8688581.1																										
OG0034803	CAG8688672.1																										
OG0034804	CAG8688834.1																										
OG0034805	CAG8689121.1																										
OG0034806	CAG8689167.1																										
OG0034807	CAG8689179.1																										
OG0034808	CAG8689203.1																										
OG0034809	CAG8689235.1																										
OG0034810	CAG8689311.1																										
OG0034811	CAG8689327.1																										
OG0034812	CAG8689370.1																										
OG0034813	CAG8689639.1																										
OG0034814	CAG8689683.1																										
OG0034815	CAG8689770.1																										
OG0034816	CAG8689794.1																										
OG0034817	CAG8689811.1																										
OG0034818	CAG8689885.1																										
OG0034819	CAG8689899.1																										
OG0034820	CAG8690017.1																										
OG0034821	CAG8690031.1																										
OG0034822	CAG8690055.1																										
OG0034823	CAG8690077.1																										
OG0034824	CAG8690175.1																										
OG0034825	CAG8690194.1																										
OG0034826	CAG8690207.1																										
OG0034827	CAG8690231.1																										
OG0034828	CAG8690243.1																										
OG0034829	CAG8690260.1																										
OG0034830	CAG8690300.1																										
OG0034831	CAG8690313.1																										
OG0034832	CAG8690327.1																										
OG0034833	CAG8690355.1																										
OG0034834	CAG8690368.1																										
OG0034835	CAG8690480.1																										
OG0034836	CAG8690554.1																										
OG0034837	CAG8690582.1																										
OG0034838	CAG8690602.1																										
OG0034839	CAG8690657.1																										
OG0034840	CAG8690666.1																										
OG0034841	CAG8690742.1																										
OG0034842	CAG8690756.1																										
OG0034843	CAG8690905.1																										
OG0034844	CAG8691056.1																										
OG0034845	CAG8691080.1																										
OG0034846	CAG8691121.1																										
OG0034847	CAG8691147.1																										
OG0034848	CAG8691223.1																										
OG0034849	CAG8691249.1																										
OG0034850	CAG8691346.1																										
OG0034851	CAG8691548.1																										
OG0034852	CAG8691574.1																										
OG0034853	CAG8691591.1																										
OG0034854	CAG8691642.1																										
OG0034855	CAG8691720.1																										
OG0034856	CAG8691825.1																										
OG0034857	CAG8691857.1																										
OG0034858	CAG8691910.1																										
OG0034859	CAG8691923.1																										
OG0034860	CAG8692231.1																										
OG0034861	CAG8692260.1																										
OG0034862	CAG8692360.1																										
OG0034863	CAG8692372.1																										
OG0034864	CAG8692396.1																										
OG0034865	CAG8692483.1																										
OG0034866	CAG8692496.1																										
OG0034867	CAG8692513.1																										
OG0034868	CAG8692527.1																										
OG0034869	CAG8692547.1																										
OG0034870	CAG8692557.1																										
OG0034871	CAG8692630.1																										
OG0034872	CAG8692656.1																										
OG0034873	CAG8692668.1																										
OG0034874	CAG8692679.1																										
OG0034875	CAG8692701.1																										
OG0034876	CAG8692718.1																										
OG0034877	CAG8692894.1																										
OG0034878	CAG8692928.1																										
OG0034879	CAG8692953.1																										
OG0034880	CAG8692961.1																										
OG0034881	CAG8692978.1																										
OG0034882	CAG8693007.1																										
OG0034883	CAG8693040.1																										
OG0034884	CAG8693135.1																										
OG0034885	CAG8693152.1																										
OG0034886	CAG8693162.1																										
OG0034887	CAG8693324.1																										
OG0034888	CAG8693329.1																										
OG0034889	CAG8693360.1																										
OG0034890	CAG8693425.1																										
OG0034891	CAG8693514.1																										
OG0034892	CAG8693531.1																										
OG0034893	CAG8693555.1																										
OG0034894	CAG8693568.1																										
OG0034895	CAG8693585.1																										
OG0034896	CAG8693605.1																										
OG0034897	CAG8694150.1																										
OG0034898	CAG8694178.1																										
OG0034899	CAG8694202.1																										
OG0034900	CAG8694374.1																										
OG0034901	CAG8694386.1																										
OG0034902	CAG8694396.1																										
OG0034903	CAG8694567.1																										
OG0034904	CAG8694576.1																										
OG0034905	CAG8694597.1																										
OG0034906	CAG8694693.1																										
OG0034907	CAG8694901.1																										
OG0034908	CAG8694910.1																										
OG0034909	CAG8694923.1																										
OG0034910	CAG8694931.1																										
OG0034911	CAG8695135.1																										
OG0034912	CAG8695198.1																										
OG0034913	CAG8695217.1																										
OG0034914	CAG8695374.1																										
OG0034915	CAG8695458.1																										
OG0034916	CAG8695471.1																										
OG0034917	CAG8695481.1																										
OG0034918	CAG8695570.1																										
OG0034919	CAG8695749.1																										
OG0034920	CAG8695766.1																										
OG0034921	CAG8695804.1																										
OG0034922	CAG8695954.1																										
OG0034923	CAG8696044.1																										
OG0034924	CAG8696058.1																										
OG0034925	CAG8696206.1																										
OG0034926	CAG8696412.1																										
OG0034927	CAG8696423.1																										
OG0034928	CAG8696547.1																										
OG0034929	CAG8696559.1																										
OG0034930	CAG8696574.1																										
OG0034931	CAG8696704.1																										
OG0034932	CAG8696784.1																										
OG0034933	CAG8696796.1																										
OG0034934	CAG8696850.1																										
OG0034935	CAG8696993.1																										
OG0034936	CAG8697199.1																										
OG0034937	CAG8697211.1																										
OG0034938	CAG8697220.1																										
OG0034939	CAG8697369.1																										
OG0034940	CAG8697379.1																										
OG0034941	CAG8697487.1																										
OG0034942	CAG8697514.1																										
OG0034943	CAG8697523.1																										
OG0034944	CAG8697554.1																										
OG0034945	CAG8697579.1																										
OG0034946	CAG8697597.1																										
OG0034947	CAG8697682.1																										
OG0034948	CAG8697706.1																										
